Image_ID,Perturbed_Data_Type,Byte_Index,Bit_Position,Initial_Value,Final_Classification
97,F5_weights,43251,2,1,7
98,F5_weights,9822,2,1,6
99,F5_weights,44208,6,1,9
100,F6_weights,4294,0,0,6
101,F5_weights,46173,2,0,0
102,F6_weights,2296,2,1,5
103,F7_weights,133,6,1,4
104,F7_weights,92,4,0,9
105,F7_weights,556,7,1,9
106,C1_kernels,104,0,1,2
107,C1_kernels,113,1,1,1
108,F7_weights,48,1,0,9
109,C1_kernels,0,2,1,4
110,C1_kernels,4,4,1,8
111,C3_kernels,850,3,0,7
112,F7_weights,566,4,0,3
113,F5_weights,9174,6,1,9
114,F7_weights,0,5,0,7
115,F7_weights,216,6,1,9
116,F6_weights,985,2,0,4
117,F7_weights,392,1,0,4
118,F6_weights,1007,0,1,9
119,F5_weights,30620,0,1,2
120,F5_weights,16955,6,1,5
121,F6_weights,9073,7,1,4
122,F5_weights,22731,7,0,7
123,C1_kernels,38,2,1,6
124,F7_weights,65,0,0,7
125,F6_weights,8147,2,0,9
126,F7_weights,470,0,0,0
127,F6_weights,6636,3,0,5
128,F5_weights,44579,4,1,8
129,C1_kernels,59,0,1,5
130,F7_weights,670,0,1,6
131,C1_kernels,52,0,1,6
132,F6_weights,901,7,1,5
133,F7_weights,633,0,1,7
134,C3_kernels,1324,2,1,8
135,F7_weights,651,7,1,1
136,F7_weights,832,3,1,0
137,C1_kernels,16,5,1,1
138,C1_kernels,85,5,0,6
139,F5_weights,8015,5,0,4
140,F5_weights,17875,7,1,6
141,F6_weights,5754,3,0,7
142,C3_kernels,2167,5,0,3
143,C1_kernels,131,6,1,1
144,F7_weights,589,1,1,7
145,C1_kernels,46,7,1,1
146,C3_kernels,2150,3,1,8
147,F5_weights,10750,1,0,2
148,F7_weights,737,4,1,0
149,C1_kernels,115,2,0,2
150,C1_kernels,145,6,0,9
151,F5_weights,4346,2,1,9
152,F7_weights,532,7,1,5
153,F7_weights,206,3,1,5
154,F7_weights,642,5,0,1
155,C1_kernels,144,3,0,5
156,F6_weights,4061,1,0,6
157,F5_weights,34676,5,0,0
158,F5_weights,8283,2,1,3
159,C1_kernels,52,0,1,4
160,F5_weights,44197,4,0,4
161,F6_weights,7665,3,1,6
162,F6_weights,1105,7,1,5
163,C1_kernels,25,2,1,4
164,C1_kernels,39,7,0,6
165,F5_weights,39101,2,0,5
166,C3_kernels,956,2,0,4
167,F7_weights,44,0,1,5
168,F5_weights,38002,5,1,1
169,F5_weights,19916,1,1,4
170,F5_weights,27132,6,1,4
171,C3_kernels,596,5,1,7
172,F5_weights,24915,1,1,2
173,F5_weights,14165,6,1,3
174,F7_weights,299,1,0,2
175,C1_kernels,121,7,1,7
176,C3_kernels,141,0,1,1
177,C3_kernels,319,1,0,8
178,F5_weights,46781,6,0,1
179,C3_kernels,299,7,0,8
180,F5_weights,1582,6,1,1
181,C3_kernels,98,4,1,8
182,C1_kernels,105,2,0,5
183,F6_weights,2446,0,1,0
184,C3_kernels,2,0,0,8
185,C3_kernels,1946,4,1,9
186,F6_weights,8519,2,1,2
187,F5_weights,27974,4,0,5
188,C1_kernels,58,7,1,0
189,C1_kernels,48,4,1,1
190,F7_weights,359,5,0,1
191,C3_kernels,139,2,1,1
192,F7_weights,442,1,0,0
193,C3_kernels,1747,1,1,9
194,C3_kernels,1106,0,0,0
195,F6_weights,8744,0,0,3
196,C3_kernels,1565,4,0,1
197,F7_weights,685,3,0,6
198,F5_weights,8839,2,0,4
199,F7_weights,578,6,1,2
200,F7_weights,108,3,1,3
201,F7_weights,306,0,0,6
202,F6_weights,7741,3,0,1
203,F7_weights,733,1,1,1
204,F5_weights,14152,3,1,1
205,C3_kernels,1437,2,1,3
206,F7_weights,661,5,0,9
207,F6_weights,96,0,1,5
208,F6_weights,6778,7,0,2
209,F6_weights,7003,0,1,9
210,C1_kernels,76,1,0,4
211,F5_weights,5825,4,0,5
212,F5_weights,3279,7,1,9
213,C1_kernels,58,6,1,3
214,C3_kernels,2016,5,1,9
215,C1_kernels,94,0,0,0
216,F6_weights,7487,2,0,3
217,F5_weights,23662,6,0,6
218,F7_weights,763,6,0,5
219,C1_kernels,130,0,1,5
220,C1_kernels,143,6,1,7
221,F7_weights,177,6,1,2
222,F7_weights,240,5,1,2
223,C3_kernels,287,0,1,7
224,C1_kernels,65,2,0,1
225,F5_weights,20650,4,0,2
226,F7_weights,35,6,1,8
227,C1_kernels,34,1,1,4
228,F6_weights,3628,0,0,1
229,C1_kernels,105,1,1,7
230,F6_weights,6211,5,0,3
231,F6_weights,2760,3,1,3
232,F5_weights,39067,1,0,8
233,F6_weights,6068,1,0,8
234,C1_kernels,101,7,0,7
235,F7_weights,547,7,0,9
236,C3_kernels,641,1,1,2
237,F6_weights,3125,4,0,2
238,F7_weights,304,1,0,4
239,C1_kernels,107,5,1,1
240,F7_weights,304,0,0,5
241,C1_kernels,107,2,0,9
242,F5_weights,19305,2,0,8
243,F7_weights,410,6,0,7
244,F7_weights,323,0,1,2
245,F7_weights,434,4,1,3
246,F5_weights,39876,2,0,0
247,F5_weights,36702,4,1,6
248,C3_kernels,1088,7,1,4
249,C3_kernels,1968,1,1,2
250,C3_kernels,2307,1,1,4
251,F6_weights,5079,7,1,1
252,C1_kernels,130,7,0,9
253,C3_kernels,1463,1,0,5
254,C3_kernels,129,5,0,7
255,F7_weights,42,7,1,7
256,F7_weights,120,1,0,2
257,C1_kernels,100,6,0,8
258,C3_kernels,546,6,0,2
259,C3_kernels,399,7,0,6
260,F5_weights,30866,2,1,8
261,C3_kernels,1592,5,0,5
262,C3_kernels,1513,6,1,7
263,F7_weights,476,4,1,7
264,C1_kernels,59,3,1,9
265,F6_weights,9073,5,0,1
266,F7_weights,413,0,0,8
267,C3_kernels,902,6,0,1
268,F5_weights,235,0,1,8
269,F6_weights,9452,5,1,0
270,F6_weights,2148,4,1,3
271,F5_weights,15067,7,1,0
272,F7_weights,405,2,0,1
273,F7_weights,47,2,0,9
274,F6_weights,9751,6,0,9
275,F6_weights,2172,7,0,4
276,C1_kernels,83,0,0,1
277,C1_kernels,80,5,0,8
278,C3_kernels,433,0,1,2
279,C1_kernels,104,4,0,1
280,C1_kernels,1,1,0,2
281,C1_kernels,76,1,0,9
282,F7_weights,351,5,1,7
283,F6_weights,294,7,1,5
284,F6_weights,8460,1,1,9
285,F7_weights,724,4,0,2
286,C1_kernels,86,3,0,6
287,C3_kernels,2147,6,0,4
288,C1_kernels,55,0,0,1
289,C1_kernels,103,1,1,5
290,F6_weights,4322,2,0,8
291,F6_weights,1107,6,1,2
292,C1_kernels,1,6,0,9
293,F5_weights,24256,0,1,2
294,F7_weights,128,3,1,0
295,F7_weights,170,1,1,4
296,F5_weights,24089,7,1,0
297,C3_kernels,1779,0,1,0
298,C1_kernels,18,5,1,2
299,C1_kernels,86,6,0,8
300,C1_kernels,71,7,0,4
301,F6_weights,5258,6,1,7
302,F6_weights,2834,2,0,1
303,F7_weights,183,4,1,2
304,C1_kernels,29,0,1,4
305,F5_weights,13865,4,1,0
306,C1_kernels,110,1,0,2
307,C1_kernels,74,2,1,7
308,C3_kernels,845,2,1,4
309,F5_weights,27,7,1,3
310,F7_weights,631,6,0,3
311,F7_weights,41,4,0,0
312,F6_weights,6167,1,1,0
313,C1_kernels,66,4,1,3
314,C3_kernels,1587,3,0,1
315,C1_kernels,122,3,0,9
316,F6_weights,8295,3,0,6
317,F7_weights,343,6,0,5
318,C1_kernels,130,5,1,2
319,F7_weights,608,1,1,5
320,F6_weights,161,7,0,9
321,C1_kernels,94,2,1,2
322,F6_weights,7754,4,0,9
323,F7_weights,431,7,0,3
324,F7_weights,496,5,0,7
325,F7_weights,564,3,1,4
326,C1_kernels,125,6,0,2
327,C3_kernels,293,3,1,0
328,C3_kernels,574,5,1,7
329,C3_kernels,2129,4,0,1
330,F7_weights,795,6,0,1
331,C1_kernels,22,7,1,2
332,F6_weights,6474,0,1,1
333,F5_weights,32460,3,1,5
334,C1_kernels,123,4,1,3
335,F6_weights,9990,6,0,3
336,F7_weights,701,5,1,9
337,F5_weights,28199,0,0,7
338,C3_kernels,1852,2,0,8
339,F7_weights,151,7,1,6
340,C1_kernels,19,5,1,5
341,F7_weights,566,6,0,6
342,F5_weights,33884,1,0,1
343,F7_weights,322,7,0,3
344,C1_kernels,120,2,0,8
345,F5_weights,28875,3,1,1
346,F5_weights,32059,4,0,0
347,F7_weights,586,2,0,5
348,C3_kernels,1085,6,0,1
349,F7_weights,82,1,1,3
350,F6_weights,3607,1,0,1
351,C3_kernels,1474,4,1,5
352,C3_kernels,633,3,0,5
353,F5_weights,19597,2,1,6
354,C3_kernels,19,1,1,1
355,F6_weights,7634,2,1,8
356,F6_weights,888,7,1,5
357,F7_weights,544,0,0,1
358,F5_weights,8688,0,1,7
359,F5_weights,12889,2,1,9
360,F5_weights,29916,2,0,4
361,C1_kernels,79,5,1,6
362,F5_weights,26185,2,0,2
363,C3_kernels,1046,0,1,2
364,C1_kernels,149,1,0,5
365,F7_weights,308,7,0,0
366,C3_kernels,2003,2,0,6
367,C1_kernels,18,3,0,5
368,F6_weights,9972,4,0,6
369,C3_kernels,971,0,0,3
370,C1_kernels,78,3,1,7
371,F5_weights,35108,1,1,2
372,F6_weights,8808,6,1,0
373,F5_weights,3881,5,0,8
374,F5_weights,42228,7,1,8
375,F5_weights,11867,0,1,5
376,C3_kernels,753,0,1,4
377,C1_kernels,58,7,1,1
378,F5_weights,38388,5,1,1
379,F6_weights,1285,5,1,4
380,F6_weights,5814,3,1,0
381,F5_weights,44747,6,1,3
382,C1_kernels,30,4,0,3
383,F5_weights,13440,7,0,7
384,F6_weights,9456,7,1,6
385,C3_kernels,995,5,0,1
386,C1_kernels,9,7,0,6
387,F5_weights,26628,2,1,2
388,F5_weights,11565,0,0,1
389,F5_weights,24363,7,1,9
390,C1_kernels,74,0,0,2
391,C3_kernels,113,3,0,8
392,F6_weights,3081,7,1,6
393,F7_weights,567,1,1,1
394,C1_kernels,92,4,1,9
395,C3_kernels,23,6,0,5
396,C3_kernels,1345,2,1,2
397,C1_kernels,54,1,1,5
398,F7_weights,186,7,0,4
399,F7_weights,509,2,0,4
400,C1_kernels,51,0,0,2
401,C3_kernels,1366,1,0,8
402,C3_kernels,1015,0,1,3
403,F5_weights,7086,7,0,8
404,C1_kernels,93,7,1,2
405,C1_kernels,141,4,0,4
406,F6_weights,1263,3,0,5
407,F7_weights,791,5,1,0
408,F6_weights,1279,3,0,3
409,F6_weights,2553,6,0,1
410,F7_weights,2,0,1,7
411,F7_weights,384,7,0,7
412,C3_kernels,2067,3,0,3
413,F5_weights,43323,4,1,7
414,F6_weights,3099,7,0,9
415,F7_weights,737,0,1,7
416,C1_kernels,47,0,0,1
417,F5_weights,26358,7,1,9
418,F7_weights,90,4,0,2
419,C1_kernels,135,7,0,1
420,C1_kernels,82,4,0,4
421,C1_kernels,61,0,0,2
422,C1_kernels,22,1,1,9
423,F6_weights,8360,7,0,2
424,F5_weights,31281,6,0,0
425,F6_weights,6654,4,0,4
426,F5_weights,19818,1,0,9
427,F7_weights,742,3,0,1
428,F5_weights,15703,1,1,4
429,F5_weights,1759,5,1,8
430,C3_kernels,2257,7,0,1
431,C1_kernels,48,4,1,8
432,F7_weights,145,1,0,4
433,F6_weights,2187,4,1,5
434,F7_weights,606,6,1,9
435,F6_weights,9002,7,1,8
436,F5_weights,4069,6,1,8
437,F5_weights,5918,2,1,3
438,F6_weights,3699,4,0,7
439,F5_weights,28996,4,1,6
440,F5_weights,38126,5,1,0
441,F5_weights,40497,0,0,0
442,F5_weights,5716,3,0,3
443,C1_kernels,142,3,1,0
444,C3_kernels,11,0,0,2
445,C1_kernels,49,4,1,0
446,F5_weights,16767,0,1,6
447,C3_kernels,1353,1,1,4
448,F5_weights,33412,0,0,9
449,F7_weights,812,3,0,3
450,C3_kernels,1265,6,0,3
451,F7_weights,464,6,1,3
452,F6_weights,534,1,0,2
453,C3_kernels,2344,4,0,3
454,F6_weights,4643,1,1,9
455,C1_kernels,15,7,1,1
456,F6_weights,5703,0,0,2
457,F7_weights,584,3,1,6
458,F6_weights,1665,7,0,8
459,C3_kernels,2106,2,0,0
460,F6_weights,6490,7,1,5
461,F7_weights,144,6,1,6
462,C1_kernels,16,1,1,6
463,C3_kernels,801,1,0,6
464,F6_weights,3900,5,1,3
465,F7_weights,825,6,1,8
466,C3_kernels,959,2,0,8
467,F6_weights,6105,4,0,2
468,F7_weights,483,5,0,7
469,C3_kernels,337,1,0,5
470,F7_weights,428,7,0,8
471,C1_kernels,98,7,0,9
472,F6_weights,8266,2,1,6
473,F6_weights,6223,0,1,1
474,C3_kernels,907,0,0,8
475,F6_weights,4976,0,0,4
476,C1_kernels,74,5,0,1
477,F5_weights,11442,3,1,2
478,F6_weights,3345,0,0,5
479,F7_weights,188,6,1,9
480,C1_kernels,123,2,1,1
481,F5_weights,47733,3,1,9
482,C3_kernels,1227,0,1,7
483,C1_kernels,81,0,0,5
484,F7_weights,296,7,1,4
485,F5_weights,1967,3,1,0
486,F5_weights,36076,4,1,8
487,F5_weights,10881,6,0,9
488,F7_weights,444,5,1,9
489,C1_kernels,57,7,1,1
490,F7_weights,30,6,1,0
491,C1_kernels,59,0,1,5
492,C1_kernels,139,7,0,2
493,C3_kernels,96,3,1,3
494,F5_weights,6256,1,1,7
495,F5_weights,41634,0,1,8
496,C3_kernels,1451,2,0,9
497,F5_weights,42567,4,0,4
498,C1_kernels,149,4,0,0
499,F5_weights,29011,0,1,6
500,C3_kernels,997,3,0,3
501,F5_weights,18031,1,0,9
502,F6_weights,6027,0,0,5
503,F5_weights,12146,2,0,2
504,F7_weights,445,4,0,1
505,C3_kernels,620,6,1,3
506,F7_weights,361,7,0,1
507,C3_kernels,897,3,1,3
508,F5_weights,21002,5,1,6
509,F6_weights,9380,0,1,5
510,F7_weights,796,7,0,7
511,F5_weights,27980,6,0,4
512,F7_weights,730,6,1,2
513,F7_weights,229,6,1,2
514,C1_kernels,65,2,0,6
515,F5_weights,42135,5,0,3
516,C1_kernels,145,2,0,2
517,C3_kernels,889,6,0,6
518,F5_weights,7818,0,1,5
519,C1_kernels,29,1,0,4
520,C3_kernels,2306,1,0,8
521,C3_kernels,380,1,1,9
522,F6_weights,5274,2,1,7
523,F7_weights,194,7,1,1
524,C1_kernels,99,4,1,3
525,C3_kernels,1150,7,0,0
526,F5_weights,4486,1,0,3
527,F5_weights,43748,2,1,8
528,F6_weights,7509,6,1,3
529,F7_weights,407,1,1,1
530,F5_weights,5554,5,0,9
531,F7_weights,822,7,1,3
532,C1_kernels,49,4,1,4
533,F6_weights,6004,6,0,4
534,F7_weights,436,0,1,6
535,F5_weights,13701,2,1,4
536,F5_weights,23396,1,0,2
537,C3_kernels,1925,0,0,1
538,F7_weights,294,4,1,8
539,C1_kernels,114,5,0,2
540,C3_kernels,156,6,1,5
541,F7_weights,103,6,1,4
542,F5_weights,35622,1,1,8
543,C1_kernels,128,0,0,8
544,C1_kernels,18,6,1,4
545,F5_weights,47047,3,0,0
546,F6_weights,5671,3,1,0
547,C3_kernels,1755,3,1,2
548,F7_weights,558,7,1,3
549,C1_kernels,19,6,0,2
550,C1_kernels,61,3,0,7
551,C3_kernels,2073,2,1,7
552,F6_weights,2782,1,1,0
553,F5_weights,47580,4,1,8
554,C3_kernels,1719,3,1,7
555,C3_kernels,138,7,0,4
556,C3_kernels,1985,0,1,4
557,F6_weights,2333,1,0,7
558,C1_kernels,89,7,0,9
559,F6_weights,3611,7,0,6
560,C3_kernels,1022,2,1,9
561,F6_weights,4260,7,0,0
562,C3_kernels,1702,4,1,9
563,C3_kernels,39,0,1,8
564,C3_kernels,95,4,1,0
565,F6_weights,9117,2,1,4
566,F7_weights,460,3,0,6
567,C3_kernels,2014,5,1,0
568,F7_weights,429,7,0,6
569,C3_kernels,2126,1,1,3
570,C1_kernels,108,5,0,5
571,F7_weights,195,5,1,4
572,F6_weights,3865,1,1,8
573,F5_weights,40297,3,0,3
574,F7_weights,576,1,1,3
575,F5_weights,8489,7,1,9
576,C1_kernels,17,6,0,3
577,C1_kernels,1,2,0,3
578,C3_kernels,634,1,0,3
579,C3_kernels,131,5,1,7
580,F5_weights,1635,6,1,8
581,F5_weights,28703,6,1,0
582,F7_weights,7,2,0,8
583,C1_kernels,94,1,1,2
584,F6_weights,10071,4,0,1
585,F6_weights,9880,4,0,7
586,F5_weights,42171,7,1,0
587,F6_weights,9764,2,0,6
588,F5_weights,38686,4,0,5
589,F5_weights,44672,4,0,4
590,F5_weights,25400,7,1,3
591,F7_weights,426,0,1,8
592,C1_kernels,37,3,0,0
593,F7_weights,545,5,1,9
594,C1_kernels,28,6,0,6
595,F7_weights,194,2,1,3
596,F7_weights,44,1,1,8
597,C3_kernels,112,5,1,0
598,F6_weights,948,1,0,9
599,C3_kernels,665,6,0,9
600,C3_kernels,273,7,1,6
601,F5_weights,18486,7,1,8
602,C1_kernels,10,4,0,6
603,C1_kernels,40,1,0,8
604,C1_kernels,140,5,0,5
605,C1_kernels,105,0,0,7
606,F6_weights,3695,3,1,8
607,C3_kernels,141,4,0,6
608,F6_weights,6896,1,1,0
609,F7_weights,784,2,1,2
610,F7_weights,816,0,1,4
611,F7_weights,30,7,1,0
612,F6_weights,9704,6,0,2
613,F5_weights,47101,1,0,2
614,F6_weights,1489,1,1,3
615,F6_weights,9587,7,1,1
616,C3_kernels,2298,7,0,9
617,C3_kernels,12,4,0,7
618,C3_kernels,1123,4,1,5
619,C3_kernels,415,1,0,1
620,F6_weights,536,5,1,0
621,F5_weights,45153,3,1,8
622,C1_kernels,12,0,0,4
623,F6_weights,4081,4,1,6
624,C1_kernels,50,7,1,2
625,F5_weights,2939,2,0,6
626,C3_kernels,1451,7,0,7
627,F6_weights,523,1,0,9
628,C3_kernels,881,4,0,3
629,F7_weights,556,0,0,2
630,F7_weights,807,0,1,9
631,C3_kernels,1091,3,1,8
632,C1_kernels,75,4,1,2
633,F7_weights,523,6,0,2
634,C1_kernels,55,7,1,9
635,F6_weights,5273,5,1,2
636,F6_weights,5036,4,0,7
637,F7_weights,444,7,0,3
638,C3_kernels,1040,4,0,5
639,F5_weights,3816,0,0,9
640,F5_weights,7287,6,1,1
641,F5_weights,37307,7,1,8
642,F6_weights,5596,6,0,0
643,F6_weights,9436,5,1,2
644,C1_kernels,52,7,1,0
645,F5_weights,42542,0,0,5
646,C3_kernels,1528,7,0,4
647,F7_weights,367,0,1,1
648,F5_weights,37240,2,0,3
649,F6_weights,6596,7,1,7
650,F7_weights,784,1,0,6
651,C1_kernels,9,5,0,7
652,F6_weights,2236,2,0,1
653,F7_weights,195,7,1,2
654,F7_weights,564,4,0,5
655,F5_weights,20648,5,1,8
656,F7_weights,770,6,1,0
657,F7_weights,476,2,1,3
658,F6_weights,1232,6,0,7
659,C3_kernels,592,7,1,1
660,C1_kernels,92,4,1,4
661,F7_weights,506,2,1,0
662,C3_kernels,1841,4,1,9
663,F7_weights,443,2,1,1
664,F5_weights,45145,6,0,8
665,C3_kernels,2013,5,1,6
666,F7_weights,749,6,1,7
667,C3_kernels,1791,5,1,7
668,C3_kernels,420,4,1,4
669,C3_kernels,61,5,1,3
670,F7_weights,14,6,0,4
671,C3_kernels,2362,3,1,9
672,F6_weights,7881,5,1,1
673,F7_weights,299,3,0,9
674,C1_kernels,41,2,1,3
675,F5_weights,5620,4,1,1
676,C3_kernels,1170,7,1,7
677,F7_weights,350,3,0,3
678,F7_weights,343,5,1,9
679,C1_kernels,92,7,0,7
680,C3_kernels,1820,3,0,6
681,C1_kernels,22,0,0,9
682,C1_kernels,6,2,1,1
683,C1_kernels,116,0,1,3
684,F6_weights,9426,5,1,7
685,C1_kernels,141,2,0,8
686,F7_weights,726,1,1,3
687,C3_kernels,1888,0,1,3
688,C3_kernels,1262,4,1,6
689,C1_kernels,102,6,0,7
690,F5_weights,32310,7,1,2
691,F6_weights,5758,7,1,8
692,F6_weights,4526,2,0,5
693,C3_kernels,1567,3,1,8
694,F5_weights,26868,7,0,5
695,F7_weights,551,5,1,1
696,C1_kernels,118,1,0,1
697,C1_kernels,86,3,0,4
698,F7_weights,359,5,0,4
699,F6_weights,6322,2,0,3
700,F5_weights,32956,7,1,1
701,F6_weights,3934,6,1,0
702,F6_weights,805,1,0,7
703,C1_kernels,40,5,0,7
704,C3_kernels,1741,6,0,0
705,F6_weights,1084,5,1,7
706,F6_weights,3892,3,0,9
707,F7_weights,127,7,1,4
708,C3_kernels,1191,2,1,4
709,F7_weights,666,4,0,8
710,F7_weights,196,1,0,5
711,F7_weights,132,0,0,5
712,F5_weights,28420,0,1,4
713,F6_weights,1071,6,0,0
714,F7_weights,270,6,1,8
715,F7_weights,7,7,1,2
716,F7_weights,471,4,1,7
717,F6_weights,3810,0,1,0
718,C1_kernels,118,1,0,8
719,F6_weights,2663,6,1,4
720,F7_weights,601,5,1,5
721,C3_kernels,761,3,1,0
722,F7_weights,524,0,0,4
723,F7_weights,666,3,1,0
724,F7_weights,193,7,1,6
725,F7_weights,231,2,0,1
726,C1_kernels,111,5,0,7
727,F6_weights,2220,2,0,3
728,F5_weights,45583,0,1,2
729,F5_weights,11562,1,0,6
730,F6_weights,5088,4,0,7
731,F6_weights,9710,1,0,2
732,F7_weights,656,0,1,6
733,C1_kernels,52,2,1,9
734,F5_weights,16124,3,1,3
735,C3_kernels,1582,4,1,1
736,F6_weights,2714,2,1,4
737,C3_kernels,1817,7,1,6
738,C1_kernels,137,1,0,2
739,F7_weights,567,1,1,5
740,F6_weights,2927,6,1,4
741,F7_weights,114,0,1,2
742,F7_weights,594,7,0,0
743,C3_kernels,754,0,1,6
744,F6_weights,7495,6,1,2
745,C1_kernels,146,3,0,1
746,F5_weights,45921,6,0,7
747,F7_weights,247,3,0,3
748,F5_weights,4287,2,0,4
749,F6_weights,5515,1,1,1
750,C1_kernels,133,2,1,0
751,C3_kernels,986,6,0,5
752,F5_weights,30878,7,0,4
753,C1_kernels,78,3,1,3
754,F5_weights,31685,4,0,1
755,C1_kernels,96,0,0,1
756,F6_weights,932,5,1,7
757,C1_kernels,130,7,0,4
758,F7_weights,458,2,1,9
759,F6_weights,958,2,0,9
760,C1_kernels,138,4,0,4
761,C1_kernels,76,5,0,8
762,F5_weights,3950,3,0,4
763,F7_weights,452,4,1,0
764,F5_weights,42386,6,1,2
765,F5_weights,20944,5,1,4
766,F6_weights,1308,4,0,5
767,C1_kernels,18,7,1,1
768,F5_weights,24659,1,1,1
769,C3_kernels,1538,3,0,6
770,C1_kernels,26,7,0,4
771,F5_weights,19720,0,1,7
772,C3_kernels,76,6,1,1
773,C3_kernels,2129,5,1,9
774,F5_weights,19736,0,0,4
775,C1_kernels,56,7,1,2
776,F7_weights,585,3,0,4
777,C1_kernels,13,4,0,1
778,F5_weights,17763,7,1,5
779,F5_weights,19217,7,0,5
780,C1_kernels,35,2,0,3
781,C1_kernels,11,6,1,8
782,C1_kernels,30,1,1,3
783,F7_weights,184,0,1,1
784,F5_weights,32908,1,0,4
785,F6_weights,2070,0,1,5
786,F6_weights,5013,7,1,6
787,C1_kernels,45,0,1,8
788,C1_kernels,85,4,1,9
789,F6_weights,348,4,1,4
790,F5_weights,4630,5,0,1
791,C3_kernels,2312,0,1,5
792,C1_kernels,118,7,1,3
793,C3_kernels,827,7,1,8
794,F6_weights,5388,7,1,0
795,F7_weights,628,0,0,3
796,F7_weights,678,4,1,2
797,F7_weights,701,0,0,5
798,C1_kernels,6,4,0,1
799,F7_weights,506,6,1,2
800,F7_weights,295,2,1,8
801,F6_weights,778,6,1,3
802,F5_weights,31197,0,0,4
803,F7_weights,193,4,1,4
804,F5_weights,21733,5,1,0
805,F5_weights,42344,7,1,8
806,C1_kernels,88,4,1,8
807,C1_kernels,47,3,1,3
808,C1_kernels,27,1,1,3
809,F5_weights,16469,4,0,1
810,F7_weights,494,6,0,7
811,F6_weights,6827,5,0,3
812,C3_kernels,1097,3,1,5
813,C1_kernels,82,6,0,9
814,C1_kernels,136,6,0,6
815,F6_weights,7363,4,1,3
816,C1_kernels,134,3,1,2
817,F6_weights,1444,4,0,6
818,F7_weights,587,2,0,1
819,F6_weights,8816,5,1,3
820,C3_kernels,2013,5,1,6
821,F7_weights,293,4,0,0
822,F5_weights,18905,1,0,7
823,C1_kernels,49,0,1,2
824,F5_weights,4324,5,0,1
