Image_ID,Perturbed_Data_Type,Byte_Index,Bit_Position,Initial_Value,Final_Classification
78,F5_weights,3918,7,1,9
79,F6_weights,8325,3,0,7
80,F6_weights,7958,5,1,7
81,F5_weights,30534,3,1,6
82,F5_weights,8216,0,1,2
83,F7_weights,580,1,1,7
84,F6_weights,8792,6,0,8
85,F7_weights,258,4,1,4
86,C3_kernels,937,5,0,7
87,C3_kernels,278,3,0,3
88,C3_kernels,100,7,1,6
89,F5_weights,6104,3,1,1
90,C3_kernels,1651,7,1,3
91,F6_weights,49,5,1,6
92,F5_weights,7419,1,1,9
93,F7_weights,361,0,0,3
94,F7_weights,583,4,0,1
95,C1_kernels,147,1,1,4
96,F5_weights,8736,5,0,1
97,C3_kernels,2062,7,1,7
98,F7_weights,654,3,1,6
99,F7_weights,661,2,0,9
100,C3_kernels,390,7,1,6
101,F6_weights,7773,6,1,0
102,C3_kernels,179,1,0,5
103,F5_weights,15720,5,0,4
104,F7_weights,197,1,1,9
105,F6_weights,2611,5,0,9
106,F5_weights,22128,2,0,2
107,C1_kernels,103,7,1,1
108,C3_kernels,622,7,1,9
109,F6_weights,7667,0,0,4
110,F6_weights,6736,0,1,8
111,C1_kernels,68,4,0,7
112,F7_weights,36,2,0,3
113,C3_kernels,122,0,0,9
114,F5_weights,160,6,1,7
115,C1_kernels,136,2,1,9
116,F7_weights,345,0,0,4
117,C3_kernels,1880,7,0,4
118,F6_weights,3418,4,0,9
119,F7_weights,47,3,1,2
120,F6_weights,3641,1,0,5
121,C3_kernels,1065,1,0,4
122,C3_kernels,1930,4,1,7
123,F6_weights,648,7,0,6
124,C1_kernels,76,7,0,7
125,C3_kernels,1058,6,0,9
126,F5_weights,7167,4,1,0
127,C1_kernels,25,1,1,5
128,F6_weights,3649,1,0,8
129,F5_weights,45956,3,0,5
130,C1_kernels,27,1,1,6
131,F6_weights,7063,0,0,6
132,C3_kernels,1658,4,0,5
133,C3_kernels,487,7,0,7
134,F7_weights,207,1,0,8
135,F6_weights,6606,4,0,1
136,F5_weights,31717,6,1,0
137,C1_kernels,22,4,0,1
138,C3_kernels,1443,3,1,6
139,F6_weights,9430,4,1,4
140,F6_weights,2912,7,0,6
141,C1_kernels,76,6,0,7
142,F5_weights,27999,1,0,3
143,C3_kernels,156,3,0,1
144,F5_weights,39545,5,1,7
145,C1_kernels,38,6,0,1
146,F7_weights,95,5,1,8
147,C3_kernels,757,4,0,2
148,F6_weights,6718,1,0,0
149,F6_weights,3633,5,1,2
150,F7_weights,438,7,1,9
151,C3_kernels,348,4,0,9
152,C1_kernels,124,1,1,5
153,F7_weights,87,1,1,5
154,F6_weights,3652,5,0,1
155,F7_weights,493,0,1,5
156,F6_weights,6326,5,1,6
157,F6_weights,2965,2,0,0
158,F6_weights,4301,6,1,3
159,F5_weights,4824,2,0,4
160,C3_kernels,344,1,0,4
161,F6_weights,6324,5,0,6
162,C3_kernels,208,4,1,5
163,C1_kernels,56,5,0,4
164,F5_weights,8957,1,1,6
165,C1_kernels,87,1,1,5
166,F6_weights,9067,1,1,4
167,F6_weights,8805,6,0,5
168,F7_weights,468,2,0,1
169,F6_weights,1637,7,0,4
170,F7_weights,77,6,0,4
171,C1_kernels,123,0,1,7
172,C1_kernels,126,4,0,2
173,C3_kernels,123,7,0,3
174,F5_weights,35694,5,0,2
175,F5_weights,12629,0,1,7
176,C3_kernels,1671,2,0,1
177,C1_kernels,10,2,0,8
178,F5_weights,41695,0,1,1
179,F6_weights,1654,5,0,8
180,F7_weights,584,5,0,1
181,C1_kernels,19,5,1,8
182,C3_kernels,856,7,0,5
183,C1_kernels,75,6,1,0
184,C1_kernels,62,2,1,8
185,F5_weights,15047,5,0,9
186,C3_kernels,2188,4,1,2
187,F7_weights,18,2,1,5
188,F6_weights,2192,1,1,0
189,C1_kernels,91,4,1,1
190,C3_kernels,1435,1,0,1
191,C3_kernels,811,0,1,1
192,C3_kernels,854,6,0,0
193,C1_kernels,85,4,1,9
194,F7_weights,47,5,1,0
195,F7_weights,839,3,1,3
196,F7_weights,243,6,1,1
197,C1_kernels,44,6,1,6
198,F7_weights,647,0,1,4
199,C1_kernels,147,4,0,2
200,F5_weights,29805,6,1,3
201,F5_weights,21094,2,1,6
202,C1_kernels,76,1,0,1
203,F5_weights,33921,0,1,1
204,C3_kernels,2154,1,0,1
205,F5_weights,40067,2,0,3
206,F7_weights,540,2,0,9
207,C1_kernels,123,2,1,5
208,F6_weights,9170,3,0,2
209,F7_weights,455,0,0,9
210,F7_weights,553,0,0,4
211,C3_kernels,670,7,1,5
212,F6_weights,9979,3,1,9
213,F6_weights,3073,5,0,3
214,F7_weights,447,2,0,9
215,F5_weights,726,2,1,0
216,C1_kernels,126,3,0,3
217,C1_kernels,145,0,0,6
218,F6_weights,8897,6,1,5
219,F7_weights,589,7,0,5
220,F5_weights,4945,7,0,7
221,C1_kernels,144,3,0,2
222,F5_weights,20378,4,1,2
223,C3_kernels,810,4,0,7
224,F7_weights,828,1,0,1
225,C1_kernels,100,3,0,2
226,F6_weights,7452,4,0,8
227,C3_kernels,1406,4,1,4
228,C1_kernels,9,3,0,1
229,C1_kernels,32,7,1,7
230,C1_kernels,102,3,0,3
231,C3_kernels,1915,4,1,3
232,F5_weights,25231,7,1,8
233,F5_weights,2927,6,0,8
234,C3_kernels,1043,5,1,7
235,C3_kernels,1609,3,0,9
236,F7_weights,415,7,1,2
237,F7_weights,788,4,0,2
238,F6_weights,800,7,1,4
239,F5_weights,7768,1,1,1
240,C3_kernels,2031,7,1,5
241,F7_weights,793,2,0,9
242,F7_weights,248,0,1,8
243,F7_weights,744,6,1,7
244,C3_kernels,1432,7,1,2
245,F5_weights,47224,6,1,3
246,F5_weights,30236,1,0,0
247,F7_weights,473,6,0,6
248,C3_kernels,1741,4,1,4
249,C1_kernels,142,7,1,2
250,F6_weights,9884,5,1,4
251,F5_weights,20930,0,1,1
252,F7_weights,597,6,1,9
253,F7_weights,126,4,0,5
254,F7_weights,541,4,1,7
255,F6_weights,7495,2,1,7
256,F7_weights,408,5,0,2
257,C1_kernels,78,5,0,8
258,C3_kernels,29,6,1,2
259,F7_weights,743,5,1,6
260,F7_weights,759,0,0,8
261,F7_weights,491,4,1,5
262,F6_weights,5025,7,0,7
263,F6_weights,1655,6,0,7
264,F6_weights,7963,7,0,9
265,F5_weights,9002,5,0,1
266,F5_weights,8670,2,1,8
267,F5_weights,7378,4,1,1
268,C1_kernels,113,2,0,8
269,F5_weights,21417,2,0,0
270,F5_weights,44619,2,1,3
271,F6_weights,4666,2,0,0
272,C3_kernels,558,7,1,1
273,F5_weights,15092,4,1,9
274,C3_kernels,375,4,0,9
275,F6_weights,6251,7,1,4
276,F5_weights,23460,6,0,1
277,C3_kernels,1866,3,0,8
278,C1_kernels,115,3,0,2
279,C1_kernels,146,2,0,1
280,F5_weights,36581,1,0,2
281,F6_weights,290,5,1,9
282,F5_weights,1896,2,0,7
283,C1_kernels,149,6,0,5
284,C3_kernels,1690,1,1,9
285,F6_weights,9036,5,1,2
286,C1_kernels,61,1,1,6
287,F6_weights,8368,0,1,4
288,F5_weights,7534,6,1,1
289,F6_weights,2421,6,1,5
290,C3_kernels,248,1,1,8
291,C1_kernels,60,7,1,2
292,F5_weights,24523,3,1,9
293,C1_kernels,6,5,1,2
294,C1_kernels,144,5,0,0
295,F6_weights,1981,4,0,4
296,F5_weights,19943,2,1,0
297,C1_kernels,47,3,1,0
298,C1_kernels,78,2,1,2
299,C1_kernels,119,3,1,8
300,F5_weights,27369,2,1,4
301,F6_weights,3996,7,1,7
302,F7_weights,316,5,0,1
303,F7_weights,471,3,1,2
304,C1_kernels,112,7,1,4
305,F6_weights,5013,6,1,0
306,F5_weights,32264,0,0,2
307,F5_weights,28629,0,1,7
308,F7_weights,211,4,0,4
309,F5_weights,2953,5,0,3
310,C3_kernels,855,7,0,3
311,F7_weights,31,2,0,0
312,C1_kernels,115,2,0,0
313,F6_weights,8341,3,0,3
314,C3_kernels,1655,3,0,1
315,C3_kernels,2315,2,1,9
316,F6_weights,9360,6,1,6
317,F7_weights,574,6,1,5
318,C1_kernels,60,5,1,2
319,F7_weights,366,3,1,5
320,F6_weights,8799,1,0,9
321,C3_kernels,232,6,1,2
322,F5_weights,31730,7,1,9
323,C1_kernels,132,2,0,3
324,F7_weights,379,0,0,7
325,C3_kernels,2321,7,1,4
326,C3_kernels,158,0,0,2
327,F6_weights,9037,7,1,0
328,C1_kernels,31,6,0,7
329,F5_weights,10650,7,0,1
330,F5_weights,4231,2,1,1
331,C1_kernels,30,5,1,2
332,F5_weights,8085,1,0,1
333,F6_weights,4380,0,1,5
334,F5_weights,8790,5,0,3
335,C1_kernels,3,0,1,3
336,F6_weights,1719,2,1,9
337,C3_kernels,2200,0,1,7
338,C1_kernels,2,5,0,8
339,F6_weights,958,7,1,6
340,C1_kernels,106,1,1,5
341,F6_weights,3281,4,1,6
342,F6_weights,6127,0,1,1
343,C3_kernels,2260,5,0,3
344,C1_kernels,58,5,1,8
345,F6_weights,484,6,1,1
346,F7_weights,193,0,1,0
347,F6_weights,8200,0,0,5
348,F5_weights,11247,0,1,1
349,C3_kernels,2018,1,1,3
350,F5_weights,22282,5,1,1
351,C1_kernels,115,6,1,5
352,F7_weights,597,6,1,5
353,F5_weights,13663,1,0,6
354,F5_weights,34596,0,1,1
355,C3_kernels,1151,6,1,8
356,C3_kernels,2134,6,0,5
357,F6_weights,43,5,0,1
358,C1_kernels,133,1,1,7
359,F5_weights,44150,0,0,9
360,C1_kernels,42,4,1,4
361,F7_weights,782,3,1,6
362,F6_weights,1343,2,0,2
363,F6_weights,8495,7,1,2
364,C3_kernels,704,6,1,5
365,F6_weights,2931,0,0,0
366,F6_weights,273,6,1,6
367,F6_weights,7009,5,0,5
368,F6_weights,7445,5,1,6
369,F7_weights,581,5,0,3
370,F5_weights,42330,7,1,7
371,C3_kernels,1934,0,1,2
372,F6_weights,1646,5,0,0
373,F7_weights,84,0,0,8
374,F6_weights,821,1,0,8
375,C1_kernels,39,4,1,5
376,C1_kernels,108,6,1,4
377,F6_weights,3641,3,1,1
378,C1_kernels,105,4,1,1
379,F5_weights,7198,7,1,4
380,F5_weights,18457,7,1,0
381,C3_kernels,1995,0,0,3
382,F7_weights,826,3,0,3
383,C3_kernels,1711,6,1,7
384,C3_kernels,691,6,1,6
385,C1_kernels,101,6,0,1
386,C3_kernels,1977,5,1,6
387,C3_kernels,2234,1,1,2
388,F7_weights,151,7,1,1
389,C3_kernels,1909,0,1,9
390,F7_weights,418,5,0,2
391,C3_kernels,1451,0,0,8
392,C3_kernels,586,4,0,6
393,F7_weights,273,5,1,1
394,C3_kernels,534,1,0,9
395,C1_kernels,83,5,0,5
396,C3_kernels,661,2,0,2
397,C1_kernels,64,2,1,5
398,C1_kernels,17,4,0,4
399,F5_weights,12431,6,1,4
400,F7_weights,13,1,0,2
401,C3_kernels,1037,0,0,8
402,F6_weights,6584,5,0,3
403,F5_weights,6397,4,0,8
404,F7_weights,255,4,0,2
405,C1_kernels,143,0,0,4
406,C3_kernels,2174,6,1,5
407,F6_weights,9013,6,1,0
408,F6_weights,3202,6,0,3
409,F7_weights,789,7,1,1
410,F6_weights,2541,4,0,7
411,C3_kernels,1359,3,0,7
412,F7_weights,47,2,0,3
413,C1_kernels,2,6,1,7
414,F7_weights,752,6,0,9
415,C1_kernels,137,1,0,7
416,F5_weights,17724,2,1,1
417,F6_weights,4001,2,1,9
418,F5_weights,21779,4,1,2
419,F5_weights,18288,3,0,1
420,F6_weights,8017,0,1,4
421,F6_weights,8098,3,1,2
422,F6_weights,2347,1,0,9
423,C3_kernels,2113,3,1,2
424,F7_weights,401,4,0,0
425,C1_kernels,10,7,1,4
426,F5_weights,30964,3,0,9
427,F5_weights,23935,3,1,1
428,F5_weights,3648,0,1,4
429,C3_kernels,651,1,1,8
430,F6_weights,1977,7,1,1
431,C1_kernels,80,5,0,8
432,C3_kernels,1633,0,0,4
433,F7_weights,780,5,0,5
434,F5_weights,22348,2,0,9
435,C1_kernels,107,2,0,8
436,F6_weights,6785,4,0,8
437,C3_kernels,1500,7,0,3
438,F7_weights,256,4,0,7
439,F7_weights,647,5,0,6
440,C1_kernels,122,4,0,0
441,F6_weights,8069,3,0,0
442,F7_weights,412,4,0,3
443,F7_weights,482,7,1,0
444,F7_weights,339,4,0,2
445,F5_weights,35953,6,0,0
446,F7_weights,285,1,0,6
447,C1_kernels,22,3,1,4
448,F5_weights,44845,5,0,9
449,C1_kernels,66,2,1,3
450,C3_kernels,203,3,0,3
451,F6_weights,6895,3,0,3
452,C1_kernels,5,7,0,2
453,F7_weights,498,7,0,3
454,C3_kernels,1631,2,1,9
455,C3_kernels,177,5,0,1
456,C3_kernels,1417,6,1,2
457,F5_weights,41526,5,1,6
458,C3_kernels,831,7,0,8
459,C3_kernels,971,1,1,0
460,F7_weights,260,2,1,5
461,C3_kernels,405,5,1,6
462,F5_weights,9320,6,0,6
463,C1_kernels,42,3,0,6
464,C3_kernels,671,4,1,3
465,F7_weights,329,1,0,8
466,F5_weights,12360,0,1,8
467,C3_kernels,2018,7,1,2
468,F7_weights,776,6,0,7
469,F6_weights,522,6,1,5
470,C3_kernels,1708,5,0,8
471,F5_weights,40652,5,1,9
472,F5_weights,11000,3,1,6
473,F7_weights,533,5,0,1
474,F6_weights,8827,4,1,8
475,F6_weights,6964,7,1,4
476,F7_weights,314,2,1,1
477,C1_kernels,36,2,0,2
478,C1_kernels,93,7,1,5
479,F7_weights,285,7,1,9
480,C3_kernels,1448,2,1,1
481,F6_weights,5879,1,1,9
482,F7_weights,791,4,0,7
483,F6_weights,3972,0,0,5
484,F7_weights,140,5,1,4
485,F5_weights,27146,2,0,0
486,F5_weights,12714,3,0,8
487,C1_kernels,88,7,1,9
488,F5_weights,8057,2,0,9
489,C1_kernels,32,0,1,1
490,C1_kernels,38,6,0,0
491,F5_weights,24890,4,1,5
492,F7_weights,767,6,1,8
493,C1_kernels,24,6,1,3
494,C3_kernels,1494,2,0,7
495,C1_kernels,55,0,0,8
496,C3_kernels,1387,2,0,9
497,F6_weights,2605,0,0,4
498,C1_kernels,52,3,1,0
499,F7_weights,262,2,1,6
500,F5_weights,8240,0,0,3
501,C1_kernels,36,3,0,9
502,F6_weights,4659,7,1,5
503,F6_weights,4370,3,1,2
504,F6_weights,2260,3,1,1
505,F6_weights,3946,6,0,3
506,C1_kernels,12,1,1,1
507,F6_weights,2903,7,1,3
508,C3_kernels,1022,5,0,6
509,F6_weights,81,5,1,5
510,F5_weights,4250,1,0,7
511,C3_kernels,2150,1,0,4
512,C3_kernels,141,2,1,2
513,C3_kernels,1125,7,0,2
514,C3_kernels,686,7,1,6
515,F7_weights,136,7,1,3
516,F6_weights,2774,7,1,2
517,F5_weights,17913,7,0,6
518,F7_weights,220,1,1,5
519,C1_kernels,86,0,1,4
520,F6_weights,1832,7,0,8
521,C1_kernels,46,1,0,9
522,C3_kernels,1086,2,0,7
523,F7_weights,259,6,1,1
524,C3_kernels,1799,7,1,3
525,C1_kernels,70,7,0,0
526,F7_weights,649,0,0,3
527,C3_kernels,354,4,0,8
528,C1_kernels,113,4,1,3
529,F5_weights,37578,4,1,1
530,F6_weights,5333,1,1,9
531,F7_weights,109,0,1,3
532,C3_kernels,2283,2,0,4
533,C1_kernels,134,2,1,4
534,C1_kernels,85,2,0,6
535,C3_kernels,2345,3,0,4
536,F7_weights,41,1,0,2
537,F6_weights,7251,1,1,1
538,C1_kernels,74,2,1,8
539,F5_weights,8257,6,0,2
540,F5_weights,28123,6,1,5
541,F7_weights,470,2,0,4
542,F7_weights,422,4,1,8
543,C1_kernels,120,5,1,8
544,C3_kernels,1227,6,0,4
545,F5_weights,33273,4,0,0
546,F7_weights,48,4,1,0
547,C1_kernels,61,5,1,2
548,F5_weights,36966,3,1,3
549,F6_weights,6187,2,1,2
550,F6_weights,9657,3,1,7
551,F5_weights,39478,6,1,7
552,F5_weights,28987,6,0,0
553,C1_kernels,55,3,0,8
554,C3_kernels,2234,3,0,7
555,F7_weights,36,4,0,4
556,C3_kernels,1255,7,0,4
557,F7_weights,131,7,0,7
558,C1_kernels,37,5,0,9
559,F5_weights,38911,3,0,6
560,F7_weights,744,0,1,9
561,F6_weights,934,0,0,0
562,F6_weights,6675,0,0,9
563,C1_kernels,27,6,0,8
564,F6_weights,5808,5,1,0
565,F6_weights,9364,5,0,4
566,C1_kernels,145,3,1,6
567,C3_kernels,608,7,0,0
568,C1_kernels,110,0,0,6
569,F7_weights,123,4,1,3
570,C1_kernels,121,7,1,5
571,F7_weights,695,2,0,4
572,C3_kernels,803,5,0,8
573,F5_weights,15929,6,1,3
574,F6_weights,1434,5,0,3
575,F5_weights,37716,0,1,9
576,F7_weights,137,2,0,3
577,C1_kernels,33,7,1,3
578,C3_kernels,1169,4,1,3
579,F7_weights,249,5,0,7
580,C3_kernels,593,3,1,8
581,C1_kernels,133,1,1,0
582,F6_weights,7407,1,0,8
583,C3_kernels,2373,5,0,2
584,C1_kernels,130,6,0,1
585,C3_kernels,1101,4,0,7
586,C3_kernels,2348,6,0,0
587,C3_kernels,190,6,1,6
588,F7_weights,263,4,0,5
589,C1_kernels,62,0,0,4
590,F5_weights,41805,5,0,3
591,C3_kernels,1401,1,0,8
592,F6_weights,909,4,0,0
593,F5_weights,32266,1,1,9
594,C3_kernels,1833,4,0,6
595,F5_weights,46365,6,1,3
596,F5_weights,24094,0,0,8
597,C3_kernels,1392,5,1,0
598,F6_weights,5206,0,0,9
599,C3_kernels,668,2,1,9
600,C1_kernels,38,3,1,6
601,C3_kernels,495,6,1,8
602,C3_kernels,154,5,1,6
603,F6_weights,5018,1,1,8
604,C1_kernels,84,2,1,5
605,C1_kernels,17,6,0,7
606,F6_weights,3617,0,0,8
607,C1_kernels,62,2,1,6
608,F6_weights,6754,6,1,0
609,F5_weights,5055,3,1,2
610,F5_weights,18310,0,0,4
611,F5_weights,24091,5,0,0
612,C3_kernels,1674,4,0,2
613,C3_kernels,2184,5,1,2
614,C3_kernels,2367,2,1,3
615,F5_weights,23420,2,1,1
616,C3_kernels,536,2,0,9
617,F6_weights,7401,1,0,7
618,F6_weights,1602,0,1,5
619,C3_kernels,1358,4,1,1
620,C1_kernels,105,5,1,0
621,F6_weights,3989,3,1,8
622,F6_weights,5873,6,0,4
623,F7_weights,426,2,0,6
624,C1_kernels,142,5,1,2
625,F5_weights,412,7,1,6
626,C3_kernels,452,2,0,7
627,C1_kernels,46,2,0,9
628,C1_kernels,130,6,0,3
629,F7_weights,481,5,1,2
630,C3_kernels,270,4,0,9
631,F5_weights,43884,3,1,8
632,F5_weights,20610,7,0,2
633,F5_weights,45582,1,0,2
634,C3_kernels,445,4,0,9
635,F5_weights,8856,2,0,2
636,F6_weights,2508,2,1,7
637,F6_weights,284,2,0,3
638,C3_kernels,487,7,0,5
639,F5_weights,34346,4,1,9
640,C3_kernels,1918,4,1,1
641,C3_kernels,2308,0,0,8
642,C3_kernels,947,0,0,0
643,F5_weights,40686,3,0,2
644,F7_weights,62,5,0,0
645,C3_kernels,1600,1,0,5
646,C3_kernels,1193,4,1,4
647,F6_weights,3003,2,1,1
648,C1_kernels,140,2,0,3
649,C1_kernels,39,0,1,7
650,F6_weights,2472,0,0,6
651,F7_weights,600,1,0,7
652,F6_weights,10065,2,1,1
653,C3_kernels,1545,5,1,2
654,C3_kernels,90,1,0,5
655,F7_weights,261,4,1,8
656,C3_kernels,861,2,1,0
657,F7_weights,548,7,0,3
658,F5_weights,9272,3,1,7
659,F7_weights,812,3,0,1
660,C3_kernels,1993,6,0,4
661,F5_weights,23985,7,0,0
662,F7_weights,351,7,1,9
663,F5_weights,8363,1,1,1
664,F7_weights,690,0,0,8
665,F7_weights,464,3,1,6
666,F5_weights,14580,1,0,7
667,F6_weights,5545,0,0,7
668,C1_kernels,88,1,0,4
669,C1_kernels,104,4,0,3
670,F7_weights,124,0,0,4
671,F7_weights,549,4,1,9
672,F5_weights,44838,7,0,1
673,C3_kernels,1891,7,1,9
674,F6_weights,6922,6,0,3
675,F5_weights,30459,2,1,1
676,C1_kernels,28,6,0,7
677,C1_kernels,78,2,1,3
678,F7_weights,485,3,1,9
679,C1_kernels,81,6,0,7
680,F5_weights,10464,0,0,6
681,F5_weights,43095,0,1,9
682,C1_kernels,149,0,1,1
683,C1_kernels,113,4,1,3
684,F6_weights,6476,1,1,7
685,C1_kernels,68,1,0,8
686,F7_weights,174,7,1,3
687,C1_kernels,148,4,1,3
688,F7_weights,544,2,1,6
689,F7_weights,725,3,1,7
690,C1_kernels,121,3,0,2
691,F6_weights,8028,0,1,8
692,F7_weights,120,5,0,5
693,C1_kernels,102,7,0,8
694,F6_weights,4836,1,0,5
695,F7_weights,275,5,1,1
696,F6_weights,2064,5,1,1
697,F5_weights,13061,0,1,4
698,F7_weights,514,6,1,4
699,C1_kernels,32,7,1,3
700,F6_weights,2601,1,1,1
701,F6_weights,3147,1,1,0
702,F7_weights,360,3,0,7
703,C3_kernels,1139,3,0,7
704,F6_weights,4253,6,0,0
705,F6_weights,9868,6,0,7
706,F6_weights,7260,2,0,9
707,F5_weights,28355,6,1,4
708,F5_weights,1477,5,1,4
709,C1_kernels,53,3,0,8
710,F6_weights,5004,0,1,5
711,F5_weights,34793,2,0,5
712,F7_weights,5,1,0,4
713,F6_weights,6465,2,1,0
714,F6_weights,9155,4,1,8
715,F6_weights,8992,4,1,2
716,C3_kernels,812,2,1,7
717,F6_weights,8360,6,0,0
718,C3_kernels,1680,3,0,8
719,C1_kernels,56,5,0,4
720,C3_kernels,999,7,1,5
721,F7_weights,112,1,1,0
722,C3_kernels,1982,6,1,4
723,F7_weights,348,6,1,0
724,C3_kernels,1581,3,1,6
725,F6_weights,119,1,1,1
726,F5_weights,6232,7,1,7
727,C3_kernels,149,6,0,3
728,F6_weights,2942,0,0,2
729,F6_weights,7472,6,1,6
730,C1_kernels,74,6,1,7
731,C1_kernels,16,6,0,2
732,C3_kernels,825,0,1,6
733,C3_kernels,459,7,1,9
734,F5_weights,34299,6,0,3
735,F6_weights,580,1,0,1
736,C1_kernels,77,7,1,4
737,F7_weights,652,7,0,6
738,C3_kernels,89,5,1,2
739,C3_kernels,1223,6,0,5
740,C1_kernels,38,5,0,4
741,F7_weights,767,0,1,2
742,C1_kernels,3,3,1,0
743,C1_kernels,133,3,1,6
744,F5_weights,6516,1,0,2
745,C3_kernels,1103,6,0,1
746,C3_kernels,905,7,1,7
747,F6_weights,5268,1,0,3
748,F6_weights,3288,3,1,4
749,C3_kernels,553,0,0,1
750,C3_kernels,1368,4,0,0
751,F7_weights,649,0,0,5
752,C1_kernels,79,5,1,4
753,F7_weights,477,5,0,3
754,F7_weights,479,0,1,1
755,F7_weights,725,0,0,1
756,C3_kernels,290,0,1,7
757,F5_weights,41943,1,0,4
758,F7_weights,229,6,1,9
759,C1_kernels,117,4,0,9
760,F5_weights,21902,7,1,4
761,F6_weights,5502,7,0,8
762,F7_weights,630,4,1,4
763,C3_kernels,1690,7,1,0
764,C1_kernels,29,5,1,2
765,C1_kernels,6,2,1,4
766,C3_kernels,154,2,0,5
767,C1_kernels,42,3,0,1
768,C1_kernels,78,6,0,1
769,C3_kernels,1394,4,0,6
770,F5_weights,29155,4,1,4
771,F6_weights,8056,6,1,7
772,F5_weights,29586,3,0,1
773,F5_weights,30089,7,0,9
774,F7_weights,403,1,1,4
775,F5_weights,21644,3,0,2
776,F5_weights,21785,2,0,4
777,F6_weights,8309,0,0,1
778,F7_weights,751,0,0,5
779,C3_kernels,2118,0,0,5
780,C1_kernels,109,7,1,3
781,F6_weights,1975,1,0,8
782,C1_kernels,86,6,0,3
783,C1_kernels,22,4,0,1
784,F7_weights,504,4,1,4
785,F7_weights,623,4,1,5
786,F7_weights,147,5,0,6
787,C3_kernels,2308,1,0,8
788,C1_kernels,47,6,0,9
789,C3_kernels,407,1,0,4
790,F6_weights,4209,7,0,1
791,C3_kernels,1499,3,0,5
792,C3_kernels,1236,0,0,3
793,F5_weights,15911,7,0,8
794,C3_kernels,1998,3,0,0
795,F6_weights,2303,6,1,3
796,F7_weights,10,0,0,2
797,F6_weights,3978,4,0,5
798,F5_weights,21947,2,1,1
799,F6_weights,832,5,1,2
800,F6_weights,6886,3,0,8
801,F6_weights,273,5,0,3
802,F6_weights,6795,0,1,4
803,F7_weights,551,3,1,4
804,C1_kernels,128,3,0,0
805,F7_weights,72,5,0,8
806,F7_weights,819,1,1,8
807,C3_kernels,2060,5,0,3
808,F7_weights,726,1,1,3
809,F6_weights,2349,3,1,1
810,F7_weights,786,5,1,7
811,F5_weights,3006,7,1,3
812,F7_weights,326,7,1,5
813,F6_weights,3585,5,0,9
814,F5_weights,10898,7,0,6
815,F5_weights,14544,6,1,3
816,F7_weights,47,4,1,2
817,C3_kernels,624,5,1,6
818,F7_weights,168,1,1,1
819,C1_kernels,130,3,1,3
820,C1_kernels,1,4,0,6
821,F7_weights,601,4,0,0
822,C1_kernels,82,6,0,7
